name,spec_id,survey,spec_ra,spec_dec,z,z_err,z_quality,ok_z_quality,only_tool_spec,source
LoVoCCS-5,4639210,cfa,303.5050964355469,-57.02581787109375,0.057523120158109356,0.00016678202423342812,,,True,tool
LoVoCCS-22,4536069,6df,308.6967083,-35.9682778,0.089542,,4.0,True,True,tool
LoVoCCS-27,4612880,cfa,55.87618637084961,-53.691993713378906,0.0626333213806216,0.00033356404846685624,,,True,tool
LoVoCCS-28,153506,sdss,184.38099,3.6156535,0.0772535428404808,1.5458541383850388e-05,,1.0,False,tool
LoVoCCS-39,759815,sdss,229.66909,6.2383625,0.10316329449415207,2.212995423178654e-05,,1.0,False,tool
LoVoCCS-55,,,,,,,,,,
LoVoCCS-58,,,,,0.08958878155521162,0.00015677536425254843,,,,REFLEX spectroscopic redshifts
LoVoCCS-134,ACO3825-Seq47,,,,0.07096920531568554,0.00018012488658803436,,,,ENACS
