cluster_name,nominal_galex_coverage,_r,RAJ2000,DEJ2000,Name,objid,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,NUVw,FUVw,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd,primidd,groupidd,groupTot,OName,Size,arcsec_sep_from_bcg
LoVoCCS-1,True,2.657,227.7331,5.744756,GALEX J151055.9+054441,6.382772910359052e+18,6.382772910355907e+18,AIS,227.849966,6.179446,72.0999984741211,72.1,6.4732,50.5459,50337.0,641.0,20.0,0.449962,1.0,3.0,0.03929999843239784,0.0,0.0,20.5227,0.3508000075817108,19.7396,0.1712999939918518,1.7027,0.3508000075817108,-0.3404,0.1712999939918518,2.045,0.4059,0.8789,0.2607,1.6659,0.3622,-0.0106,0.1795,0.0,0.0,0.0,1.0,22.4349,7.24648,46.148,7.27966,2193.65,840.8,2195.19,841.67,8.398,18.939,0.003499,0.007891,0.06260000169277191,0.9984999895095825,0.23070000112056732,0.18529999256134033,-52.16999816894531,-52.16999816894531,9.020000457763672,9.010000228881836,19.0,4.699999809265137,4.41581,0.0015,0.001154,5.4538,0.000648,0.000528,61.70000076293945,50.70000076293945,0.118545,3.049999952316284,1.0199999809265137,1.399999976158142,1.4600000381469727,0.38999998569488525,0.23999999463558197,C,0.0,1.0,6.382772910359052e+18,6382772910359052602,0.0,1.0,6.382772910359052e+18,6382772910359052602,6382772910359052602,GA:IC1101,71.8,2.6342053649489507
LoVoCCS-2,True,2.436,44.740156,13.582539,GALEX J025857.6+133457,6.377073035636116e+18,6.377073035635065e+18,AIS,44.713663,13.21833,272.0,272.0,164.183,-38.8667,50175.0,449.0,14.0,0.36512,1.0,1.0,0.15719999372959137,0.0,0.0,,,21.0772,0.36329999566078186,,,0.9972,0.36329999566078186,,,1.6614,0.2379,,,1.1845,0.2772,0.0,0.0,0.0,0.0,,,13.4629,4.50335,,,1832.49,2779.4,,12.139,,0.005058,0.7422000169754028,0.0,0.427700012922287,,-75.31999969482422,-76.55000305175781,,,12.0,10.0,7.11954,0.001116,0.000638,,,,205.6999969482422,224.3000030517578,,,1.159999966621399,,,0.5299999713897705,,C,0.0,1.0,6.377073035636116e+18,6377073035636116665,0.0,1.0,6.377073035636116e+18,6377073035636116665,6377073035636116665,GA:UGC02450,60.83,2.4092826904552034
LoVoCCS-4A,True,4.393,10.460541,-9.304042,GALEX J004150.5-091814,6.38045072784255e+18,6.3804507278394e+18,AIS,10.666415,-9.613718,172.0,172.0,115.2372,-72.0323,50271.0,225.0,7.0,0.370322,1.0,3.0,0.03759999945759773,0.0,0.0,20.5181,0.225600004196167,18.6004,0.06780000030994415,1.6981,0.225600004196167,-1.4796,0.06780000030994415,2.8037,0.3316,0.96,0.1783,2.2477,0.2814,-0.7203,0.0764,0.0,0.0,16.0,0.0,22.5301,4.67974,131.782,8.22826,2414.49,2672.29,2416.57,2668.48,11.473,33.731,0.00478,0.014055,0.031099999323487282,0.9430999755859375,0.383899986743927,0.40209999680519104,15.850000381469727,13.100000381469727,84.16999816894531,84.2300033569336,39.0,15.0,3.5,0.003422,0.002108,7.07095,0.001032,0.000617,143.1999969482422,154.6999969482422,0.000514421,6.170000076293945,0.9900000095367432,1.6200000047683716,1.590000033378601,0.38999998569488525,0.33000001311302185,C,0.0,1.0,6.38045072784255e+18,6380450727842549258,0.0,1.0,6.38045072784255e+18,6380450727842549258,6380450727842549258,GA:PGC002501,87.93,4.392613530224448
LoVoCCS-4B,True,1.235,10.429076,-9.438973,GALEX J004142.9-092620,6.380450727842549e+18,6.3804507278394e+18,AIS,10.666415,-9.613718,172.0,172.0,115.0834,-72.1624,50271.0,225.0,7.0,0.292101,1.0,3.0,0.03759999945759773,0.0,0.0,21.4958,0.3440000116825104,20.4394,0.20659999549388885,2.6758,0.3440000116825104,0.3594,0.20659999549388885,2.9557,0.3441,1.4761,0.2386,2.6181,0.3496,0.5481,0.1752,256.0,0.0,0.0,0.0,9.15559,2.90031,24.2247,4.60764,2491.26,2344.52,2490.87,2344.59,10.405,22.794,0.004336,0.009497,0.018300000578165054,0.9998000264167786,0.2957000136375427,0.38670000433921814,37.43000030517578,36.75,3.2699999809265137,3.3299999237060547,23.0,9.899999618530273,3.67185,0.001886,0.001328,4.54522,0.000924,0.000567,137.5,153.1999969482422,0.941312,0.7400000095367432,1.6100000143051147,1.659999966621399,2.119999885559082,0.6000000238418579,0.3499999940395355,C,0.0,1.0,6.380450727842549e+18,6380450727842548858,0.0,1.0,6.380450727842549e+18,6380450727842548858,6380450727842548858,GA:PGC002480,67.17,1.2411457887792352
LoVoCCS-5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-7,True,3.428,330.471061,-59.946099,GALEX J220153.0-595645,6.383758094252379e+18,6.38375809424923e+18,AIS,329.782211,-59.960583,189.0500030517578,196.05,332.2309,-46.3761,50365.0,1281.0,40.0,0.345213,1.0,3.0,0.038600001484155655,0.0,0.0,20.9117,0.2378000020980835,19.2284,0.06870000064373016,2.0917,0.2378000020980835,-0.8516,0.06870000064373016,2.9311,0.3121,0.2882,0.0904,2.5554,0.3039,-0.5648,0.0645,0.0,0.0,0.0,0.0,15.6795,3.43358,73.8986,4.67601,1184.88,1941.8,1186.48,1940.54,10.953,20.133,0.004564,0.008389,0.027499999850988388,0.9926000237464905,0.37059998512268066,0.552299976348877,61.79999923706055,59.79999923706055,-78.79000091552734,-79.27999877929688,25.0,13.0,3.5,0.002219,0.0014,5.88979,0.001139,0.000508,150.8000030517578,166.5,0.0997645,3.25,0.8199999928474426,1.659999966621399,1.5099999904632568,0.33000001311302185,0.3799999952316284,C,0.0,1.0,6.383758094252379e+18,6383758094252379158,0.0,1.0,6.383758094252379e+18,6383758094252379158,6383758094252379158,GA:ESO146-005,60.69,3.412032450119596
LoVoCCS-9,True,2.295,67.804287,-61.453691,GALEX J043113.0-612713,6.385693257265842e+18,6.385693257262694e+18,AIS,67.812027,-61.217329,192.0,192.0,272.1481,-40.1526,50420.0,1953.0,61.0,0.236392,1.0,3.0,0.019600000232458115,0.0,0.0,22.3226,0.3684999942779541,18.9885,0.09570000320672989,3.5026,0.3684999942779541,-1.0915,0.09570000320672989,3.1684,0.2709,0.7196,0.1404,3.2757,0.4214,-0.2091,0.0967,0.0,0.0,3.0,3.0,4.27532,1.4506,92.174,8.1204,1906.52,1239.74,1908.37,1238.39,5.263,28.166,0.002193,0.011736,0.025800000876188278,0.9725000262260437,0.335999995470047,0.2831000089645386,-64.16000366210938,-67.94000244140625,25.670000076293945,25.649999618530273,24.0,8.5,5.95004,0.0024,0.001593,4.09754,0.000665,0.000477,154.0,187.3000030517578,0.0298014,3.890000104904175,1.0099999904632568,1.4299999475479126,1.4700000286102295,0.4000000059604645,0.27000001072883606,C,0.0,1.0,6.385693257265842e+18,6385693257265841891,0.0,1.0,6.385693257265842e+18,6385693257265841891,6385693257265841891,GA:ESO118-030,107.44,2.2928677600050134
LoVoCCS-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-11,True,0.555,137.134569,-9.62968,GALEX J090832.2-093746,6.378339691284925e+18,6.378339691283874e+18,AIS,137.41869,-9.836691,144.0,144.0,239.1983,24.7005,50211.0,993.0,31.0,0.348241,1.0,1.0,0.06430000066757202,0.0,0.0,,,20.1216,0.17839999496936798,,,0.0416,0.17839999496936798,,,0.9385,0.1892,,,0.2267,0.1613,0.0,0.0,0.0,0.0,,,32.4604,5.33293,,,2534.94,2425.4,,17.359,,0.007233,0.017899999395012856,0.0,0.1543000042438507,,-46.790000915527344,-54.77000045776367,,,17.0,4.900000095367432,4.48762,0.001311,0.001109,,,,113.5999984741211,121.30000305175781,,,1.1100000143051147,,,0.44999998807907104,,C,0.0,1.0,6.378339691284925e+18,6378339691284925537,0.0,1.0,6.378339691284925e+18,6378339691284925537,6378339691284925537,GA:PGC025714,77.3,0.5598995854716925
LoVoCCS-12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
