cluster_name,nominal_galex_coverage,_r,RAJ2000,DEJ2000,Name,objid,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,NUVw,FUVw,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd,primidd,groupidd,groupTot,OName,Size,arcsec_sep_from_bcg
LoVoCCS-5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-27,True,1.559,55.873913,-53.692098,GALEX J034329.7-534131,6.385869173757577e+18,6.385869173754429e+18,AIS,56.708925,-53.473411,387.0,387.0,265.0797,-48.8312,50425.0,1793.0,56.0,0.541804,1.0,3.0,0.015699999406933784,0.0,0.0,19.9551,0.09730000048875809,19.2507,0.06109999865293503,1.1352,0.09730000048875809,-0.8293,0.06109999865293503,2.2434,0.1441,0.3166,0.0748,1.5431,0.1025,-0.4169,0.0554,0.0,5.0,0.0,3.0,37.8394,3.38879,72.3993,4.07656,3103.64,1418.32,3102.97,1418.59,17.592,18.79,0.00733,0.007829,0.02879999950528145,0.02810000069439411,0.14309999346733093,0.31310001015663147,16.899999618530273,19.920000076293945,-5.730000019073486,-4.699999809265137,23.0,16.0,4.59227,0.001946,0.001669,5.90251,0.001475,0.001012,310.29998779296875,335.8999938964844,0.554356,1.0499999523162842,0.6499999761581421,1.1200000047683716,0.9599999785423279,0.27000001072883606,0.2199999988079071,C,0.0,1.0,6.385869173757577e+18,6385869173757577461,0.0,1.0,6.385869173757577e+18,6385869173757577461,6385869173757577461,GA:PGC013679,64.29,1.564296880964003
LoVoCCS-28,True,1.641,184.381076,3.615258,GALEX J121731.4+033654,6.378937813799273e+18,6.378937813798224e+18,AIS,184.057116,3.880519,94.19999694824219,198.3,282.4529,65.1298,50228.0,641.0,20.0,0.418169,1.0,1.0,0.016499999910593033,0.0,0.0,,,20.7165,0.18529999256134033,,,0.6365,0.18529999256134033,,,1.2356,0.1828,,,0.6549,0.1704,0.0,0.0,0.0,2.0,,,18.7677,3.20234,,,1143.53,1246.25,,17.954,,0.007481,0.10130000114440918,0.0,0.1477999985218048,,-9.260000228881836,-13.9399995803833,,,18.0,7.800000190734863,3.5,0.001351,0.001151,,,,165.10000610351562,90.0,,,1.190000057220459,,,0.47999998927116394,,C,0.0,1.0,6.378937813799273e+18,6378937813799273711,0.0,1.0,6.378937813799273e+18,6378937813799273711,6378937813799273711,N,,1.6632578689381639
LoVoCCS-39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-55,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-58,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-134,True,1.25,329.539613,-60.244931,GALEX J215809.5-601441,6.383758094252377e+18,6.38375809424923e+18,AIS,329.782211,-59.960583,189.0500030517578,196.05,332.1814,-45.8249,50365.0,1281.0,40.0,0.308992,1.0,3.0,0.03610000014305115,0.0,1.0,21.7879,0.289000004529953,21.7344,0.2770000100135803,2.9679,0.289000004529953,1.6544,0.2770000100135803,3.0285,0.3055,1.5701,0.194,3.0776,0.4352,1.8691,0.4377,0.0,0.0,0.0,0.0,6.99569,1.86139,7.34899,1.87465,2301.07,1223.96,2302.56,1225.79,3.258,11.06,0.001357,0.004608,0.9941999912261963,0.9294999837875366,0.2879999876022339,0.002199999988079071,6.309999942779541,4.769999980926514,-35.27000045776367,-34.9900016784668,6.099999904632568,3.700000047683716,3.5,0.000911,0.000649,3.5,0.00049,0.000489,147.8000030517578,168.5,0.0714428,3.509999990463257,1.1399999856948853,1.3300000429153442,1.5199999809265137,0.4699999988079071,0.25,C,0.0,1.0,6.383758094252377e+18,6383758094252377266,0.0,1.0,6.383758094252377e+18,6383758094252377266,6383758094252377266,N,,1.2603743305680988
