cluster_name,nominal_vlass_coverage,_r,recno,CompName,CompId,IslId,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Ftot,e_Ftot,Fpeak,e_Fpeak,Maj,e_Maj,Min,e_Min,PA,e_PA,FtotIsl,e_FtotIsl,Islrms,Islmean,ResIdIslrms,ResidIslmean,RAMdeg,DEMdeg,e_RAMdeg,e_DEMdeg,SCode,Xposn,e_Xposn,Yposn,e_Yposn,XposnMax,e_XposnMax,YposnMax,e_YposnMax,MajImgPlane,e_MajImgPlane,MinImgPlane,e_MinImgPlane,PAImgPlane,e_PAImgPlane,DCMaj,e_DCMaj,DCMin,e_DCMin,DCPA,e_DCPA,DCMajImgPlane,e_DCMajImgPlane,DCMinImgPlane,e_DCMinImgPlane,DCPAImgPlane,e_DCPAImgPlane,Tile,Subtile,RASdeg,DESdeg,NVSSdist,FIRSTdist,PeakToRing,DupFlag,QualFlag,NNdist,BMaj,BMin,BPA,MainSample,QLcutout,arcsec_sep_from_bcg
LoVoCCS-30,True,1.951,1313245.0,VLASS1QLCIR J091827.45-122223.4,22.0,32.0,139.61439085,-12.37318138,7.155e-05,4.886e-05,3.764,0.7390000224113464,2.169,0.289000004529953,4.2113,0.6121,3.3222,0.4059,100.3849,26.2112,2.063,0.35600000619888306,0.26899999380111694,-0.006000000052154064,0.03200000151991844,-0.006,139.61439085,-12.37318138,7.155e-05,4.886e-05,S,1811.27168,0.25756,2316.54537,0.17591,1811.27168,0.25756,2316.5454,0.1759,4.2113,0.6121,3.3222,0.4059,100.3878,26.2112,3.3146,0.6121,1.1654,0.4059,96.371,26.2112,3.3146,0.6121,1.1654,0.4059,96.374,26.2112,T07t14,J091824-123000,139.60053,-12.5,49.72425,15486.96732,3.0741,0.0,0.0,471.94,3.130000114440918,2.5799999237060547,-2.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T07t14.J091824-123000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dgtm8303z8l0k49cb&CIRCLE=139.61439085045552+-12.37318138248445+0.025,1.9747283671584281
LoVoCCS-31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-39,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-41C,True,1.473,1903676.0,VLASS1QLCIR J133010.94-020610.5,39.0,34.0,202.54560388,-2.10293997,5.949e-05,9.636e-05,24.64,1.7669999599456787,2.194,0.19200000166893005,10.0601,0.8482,6.0492,0.4497,71.4902,9.4353,61.778,1.7760000228881836,0.19200000166893005,-0.0010000000474974513,0.3310000002384186,0.257,202.54625272,-2.10314224,5.949e-05,9.636e-05,M,1701.42293,0.21417,3289.402,0.34691,1699.0887,0.21417,3288.6738,0.3469,10.0601,0.8482,6.0491,0.4497,71.4919,9.4353,9.6613,0.8482,5.2708,0.4497,71.7724,9.4353,9.6613,0.8482,5.2707,0.4497,71.774,9.4353,T10t21,J133000-023000,202.50152,-2.5,10.33679,3.26426,1.2287,0.0,0.0,8.07,2.9800000190734863,2.7899999618530273,-1.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T10t21.J133000-023000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Db0jmzayqcix8ujuq&CIRCLE=202.54560387594844+-2.10293997076579+0.025,1.4686897476775012
LoVoCCS-41C,True,9.462,1903686.0,VLASS1QLCIR J133011.06-020602.7,38.0,34.0,202.54611663,-2.10075675,8.187e-05,6.339e-05,5.084,0.7889999747276306,1.678,0.20200000703334808,5.6076,0.7131,4.4942,0.5119,70.7454,25.7977,61.778,1.7760000228881836,0.19200000166893005,-0.0010000000474974513,0.3310000002384186,0.257,202.54611663,-2.10075675,8.187e-05,6.339e-05,C,1699.57804,0.29474,3297.26133,0.22822,1699.57804,0.29474,3297.2613,0.2282,5.6076,0.7131,4.4941,0.5119,70.7471,25.7977,4.8559,0.7131,3.3746,0.5119,72.3205,25.7977,4.8559,0.7131,3.3745,0.5119,72.3221,25.7977,T10t21,J133000-023000,202.50152,-2.5,13.25686,5.14545,0.7178,0.0,0.0,8.07,2.9800000190734863,2.7899999618530273,-1.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T10t21.J133000-023000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Db0jmzayqcix8ujuq&CIRCLE=202.54611662956702+-2.10075675311511+0.025,9.465552569646109
LoVoCCS-42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-45,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-55,True,8.829,1730534.0,VLASS1QLCIR J121547.34-385543.5,37.0,45.0,183.94726695,-38.92877354,5.092e-05,6.941e-05,6.081,0.628000020980835,2.247,0.17000000178813934,7.1281,0.7136,2.6702,0.1532,144.9219,5.7183,82.294,2.994999885559082,0.18299999833106995,0.0,0.3050000071525574,0.581,183.94726695,-38.92877354,5.092e-05,6.941e-05,C,3244.27714,0.18333,312.7125,0.24989,3244.27714,0.18333,312.7125,0.2499,7.1278,0.7136,2.6702,0.1532,144.6113,5.7183,6.5258,0.7136,0.5327,0.1532,141.4349,5.7183,6.5255,0.7136,0.5327,0.1532,141.1243,5.7183,T01t25,J121745-383000,184.44156,-38.5,12.24476,111040.53304,1.6828,0.0,0.0,15.65,3.200000047683716,2.200000047683716,0.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T01t25.J121745-383000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dodwmaslo0ohy70r0&CIRCLE=183.94726694974167+-38.928773544752566+0.025,8.85104148912538
LoVoCCS-55,True,8.95,1730507.0,VLASS1QLCIR J121546.72-385527.4,39.0,45.0,183.94468264,-38.92429434,2.657e-05,8.804e-05,2.595,0.4429999887943268,1.627,0.17399999499320984,5.1092,0.7611,2.1953,0.1688,168.7274,7.9534,82.294,2.994999885559082,0.18299999833106995,0.0,0.3050000071525574,0.581,183.94468264,-38.92429434,2.657e-05,8.804e-05,C,3251.60219,0.09564,328.79797,0.31696,3251.60219,0.09564,328.798,0.317,5.109,0.7611,2.1952,0.1688,168.4152,7.9534,4.022,0.7611,0.0,0.1688,164.8709,7.9534,4.0219,0.7611,0.0,0.1688,164.5587,7.9534,T01t25,J121745-383000,184.44156,-38.5,8.30907,111024.12455,1.635,0.0,0.0,15.46,3.200000047683716,2.200000047683716,0.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T01t25.J121745-383000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dodwmaslo0ohy70r0&CIRCLE=183.9446826407198+-38.92429434394319+0.025,8.933176192586537
LoVoCCS-58,True,3.049,3041392.0,VLASS1QLCIR J213442.46-132330.2,14.0,19.0,323.67695762,-13.39174753,0.00011115,0.00016531,20.957,1.9040000438690186,0.901,0.07900000363588333,15.9619,1.4152,10.7455,0.9214,169.4051,12.6871,7.703,0.5519999861717224,0.14300000667572021,0.0,0.15800000727176666,0.003,323.67695762,-13.39174753,0.00011115,0.00016531,S,1562.68779,0.40015,2249.65725,0.5951,1562.68779,0.40015,2249.6573,0.5951,15.9619,1.4152,10.7455,0.9214,169.4248,12.6871,15.5758,1.4152,10.5213,0.9214,168.5883,12.6871,15.5758,1.4152,10.5213,0.9214,168.6079,12.6871,T07t33,J213422-133000,323.59206,-13.5,5.31976,15813.80228,2.0118,0.0,0.0,133.61,3.559999942779541,2.069999933242798,3.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T07t33.J213422-133000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dh75ccgdmdpf2eeud&CIRCLE=323.67695761712673+-13.391747526166947+0.025,3.0359023790896758
LoVoCCS-60A,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-61,True,6.258,3161187.0,VLASS1QLCIR J222602.31+172242.1,15.0,17.0,336.50963828,17.3783677,7.1e-05,2.315e-05,16.577,1.0210000276565552,3.226,0.15199999511241913,7.8906,0.6173,2.8509,0.1407,166.9448,4.5997,15.454,0.5899999737739563,0.15199999511241913,0.0,0.13500000536441803,0.004,336.50966831,17.37880525,7.1e-05,2.315e-05,M,741.46327,0.25561,1423.07967,0.08332,741.36277,0.25561,1424.655,0.0833,7.8906,0.6173,2.8508,0.1407,166.8475,4.5997,7.5135,0.6173,1.3883,0.1407,167.2558,4.5997,7.5135,0.6173,1.3883,0.1407,167.1586,4.5997,T15t30,J222444+173000,336.18407,17.5,30.63446,8770.33839,2.823,0.0,0.0,44.44,2.5199999809265137,2.380000114440918,-75.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T15t30.J222444%2B173000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Diqv369jnpughspn4&CIRCLE=336.5096382768864+17.37836770329782+0.025,6.256377722475317
LoVoCCS-80,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-108,True,1.379,1641310.0,VLASS1QLCIR J113924.51-332645.4,-3.0,4.0,174.85216267,-33.44594554,0.0,0.0,0.0,0.0,1.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533,0.460999995470047,0.1550000011920929,-0.0010000000474974513,0.0,0.0,174.85216267,-33.44594554,0.0,0.0,E,167.0,0.0,2050.0,0.0,167.0,0.0,2050.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T02t24,J113709-333000,174.28855,-33.5,24.90695,91250.28403,1.4361,0.0,4.0,,3.0799999237060547,1.9900000095367432,48.0,0.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T02t24.J113709-333000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dyjsw3e8aorh5cv21&CIRCLE=174.8521626697209+-33.44594554381196+0.025,1.4028657421829414
LoVoCCS-131,True,1.191,1295306.0,VLASS1QLCIR J091057.99-103352.4,16.0,18.0,137.74164955,-10.56457572,7.05e-06,2.179e-05,9.002,0.4490000009536743,6.078,0.19099999964237213,4.5755,0.1848,2.453,0.0597,0.3994,2.7448,11.318,0.5400000214576721,0.1899999976158142,-0.0010000000474974513,0.3310000002384186,0.138,137.74164955,-10.56457572,7.05e-06,2.179e-05,S,1414.26794,0.02536,1627.43817,0.07846,1414.26794,0.02536,1627.4382,0.0785,4.5755,0.1848,2.453,0.0597,0.4225,2.7448,3.0667,0.1848,0.7801,0.0597,169.2072,2.7448,3.0667,0.1848,0.7801,0.0597,169.2303,2.7448,T08t14,J091027-103000,137.6157,-10.5,10.48683,9055.77096,9.1361,0.0,0.0,318.37,3.5,2.1600000858306885,14.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T08t14.J091027-103000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dqwrn55vh22gmppjb&CIRCLE=137.74164954638914+-10.564575722217981+0.025,1.220157264204475
LoVoCCS-134,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
