cluster_name,nominal_vlass_coverage,_r,recno,CompName,CompId,IslId,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Ftot,e_Ftot,Fpeak,e_Fpeak,Maj,e_Maj,Min,e_Min,PA,e_PA,FtotIsl,e_FtotIsl,Islrms,Islmean,ResIdIslrms,ResidIslmean,RAMdeg,DEMdeg,e_RAMdeg,e_DEMdeg,SCode,Xposn,e_Xposn,Yposn,e_Yposn,XposnMax,e_XposnMax,YposnMax,e_YposnMax,MajImgPlane,e_MajImgPlane,MinImgPlane,e_MinImgPlane,PAImgPlane,e_PAImgPlane,DCMaj,e_DCMaj,DCMin,e_DCMin,DCPA,e_DCPA,DCMajImgPlane,e_DCMajImgPlane,DCMinImgPlane,e_DCMinImgPlane,DCPAImgPlane,e_DCPAImgPlane,Tile,Subtile,RASdeg,DESdeg,NVSSdist,FIRSTdist,PeakToRing,DupFlag,QualFlag,NNdist,BMaj,BMin,BPA,MainSample,QLcutout,arcsec_sep_from_bcg
LoVoCCS-1,True,5.188,2145337.0,VLASS1QLCIR J151056.30+054437.1,36.0,64.0,227.73459691,5.7436624,6.79e-06,3.72e-06,51.678,0.6539999842643738,21.719,0.1720000058412552,5.9237,0.0625,2.9249,0.0201,155.7326,0.7349,135.158,1.8240000009536743,0.1720000058412552,-0.0020000000949949026,0.2840000092983246,0.49,227.73475881,5.74357513,6.79e-06,3.72e-06,M,1122.31488,0.02443,2737.30908,0.01339,1121.73486,0.02443,2736.9951,0.0134,5.9236,0.0625,2.9249,0.0201,155.712,0.7349,5.263,0.0625,1.1066,0.0201,155.5055,0.7349,5.2629,0.0625,1.1066,0.0201,155.4849,0.7349,T12t23,J151006+053000,227.52865,5.5,6.72285,0.75227,1.1153,0.0,0.0,10.48,2.7300000190734863,2.690000057220459,13.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T12t23.J151006%2B053000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djirmhjp06vuy5fgq&CIRCLE=227.73459691089963+5.7436624040034605+0.025,5.191896256786718
LoVoCCS-1,True,5.558,2145311.0,VLASS1QLCIR J151055.87+054445.7,35.0,64.0,227.73281317,5.74605124,6.67e-06,6.49e-06,43.549,0.6949999928474426,19.674,0.1720000058412552,6.0834,0.076,2.7617,0.021,135.9189,0.778,135.158,1.8240000009536743,0.1720000058412552,-0.0020000000949949026,0.2840000092983246,0.49,227.73307208,5.74579632,6.67e-06,6.49e-06,M,1128.70714,0.024,2745.90662,0.02336,1127.77941,0.024,2744.9892,0.0234,6.0833,0.076,2.7617,0.021,135.8984,0.778,5.4489,0.076,0.4719,0.021,135.7238,0.778,5.4489,0.076,0.4719,0.021,135.7034,0.778,T12t23,J151006+053000,227.52865,5.5,6.62681,0.39654,0.9455,0.0,0.0,10.71,2.7300000190734863,2.690000057220459,13.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T12t23.J151006%2B053000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Djirmhjp06vuy5fgq&CIRCLE=227.73281316891232+5.74605123860334+0.025,5.551222341607498
LoVoCCS-2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-4A,True,0.813,98098.0,VLASS1QLCIR J004150.48-091810.8,50.0,55.0,10.46037265,-9.30301713,3e-06,6.38e-06,16.356,0.2879999876022339,13.385,0.14000000059604645,4.224,0.0562,2.4829,0.0204,16.7541,1.0269,17.805,0.3240000009536743,0.14100000262260437,-0.006000000052154064,0.2460000067949295,0.281,10.46037265,-9.30301713,3e-06,6.38e-06,S,2022.92694,0.01079,2569.12616,0.02298,2022.92694,0.01079,2569.1262,0.023,4.2239,0.0562,2.4829,0.0204,16.7467,1.0269,1.979,0.0562,0.8828,0.0204,5.7627,1.0269,1.979,0.0562,0.8828,0.0204,5.7553,1.0269,T08t02,J004201-093000,10.50623,-9.5,3.39832,0.51411,29.1177,0.0,0.0,19.87,3.75,2.2899999618530273,21.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T08t02.J004201-093000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Ddo31yscgiu64fkbc&CIRCLE=10.460372648402972+-9.30301713291697+0.025,0.82465153599173
LoVoCCS-4B,True,0.633,97825.0,VLASS1QLCIR J004143.01-092621.4,60.0,64.0,10.42922894,-9.43928493,7.03e-06,1.243e-05,6.271,0.25999999046325684,6.162,0.14300000667572021,3.819,0.1139,2.2872,0.041,24.0286,2.2793,6.391,0.27000001072883606,0.14900000393390656,-0.004000000189989805,0.10899999737739563,0.008,10.42922894,-9.43928493,7.03e-06,1.243e-05,S,2133.46221,0.02531,2078.54387,0.04474,2133.46221,0.02531,2078.5439,0.0447,3.819,0.1139,2.2872,0.041,24.016,2.2793,0.9257,0.1139,0.0,0.041,54.9116,2.2793,0.9257,0.1139,0.0,0.041,54.8989,2.2793,T08t02,J004201-093000,10.50623,-9.5,129.6561,111.13541,15.6389,0.0,0.0,111.47,3.75,2.2899999618530273,21.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.1.ql.T08t02.J004201-093000.10.2048.v2.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Ddo31yscgiu64fkbc&CIRCLE=10.42922894090292+-9.439284933065153+0.025,0.6530807585642519
LoVoCCS-5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-7,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-9,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-10,True,0.841,1830600.0,VLASS1QLCIR J125922.47-041146.2,11.0,14.0,194.84365676,-4.19619161,7.323e-05,4.32e-05,2.521,0.3499999940395355,1.9,0.15800000727176666,6.1918,0.6959,3.0674,0.1878,61.9928,6.5483,2.487,0.25600001215934753,0.16300000250339508,-0.0020000000949949026,0.0430000014603138,-0.001,194.84365676,-4.19619161,7.323e-05,4.32e-05,S,665.60776,0.26363,2953.43304,0.15551,665.60776,0.26363,2953.433,0.1555,6.1918,0.6959,3.0673,0.1878,62.0172,6.5483,2.6726,0.6959,1.6384,0.1878,73.0983,6.5483,2.6726,0.6959,1.6384,0.1878,73.1226,6.5483,T09t20,J125802-043000,194.51099,-4.5,4.49502,0.53945,4.3105,0.0,0.0,285.7,5.599999904632568,2.559999942779541,60.0,1.0,https://ws.cadc-ccda.hia-iha.nrc-cnrc.gc.ca/caom2ops/sync?ID=ad%3AVLASS%2FVLASS1.2.ql.T09t20.J125802-043000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits&RUNID%3Dtx6tbxl4claua835&CIRCLE=194.84365675982528+-4.1961916051955805+0.025,0.8582626178313516
LoVoCCS-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
