cluster_name,bands,E(B-V),FUV_flux,err_FUV_flux,NUV_flux,err_NUV_flux,arcsec_sep_from_bcg,z,FUV_lum,err_FUV_lum,NUV_lum,err_NUV_lum
LoVoCCS-1,NUV+FUV,0.0392999984323978,22.4349,7.24648,46.148,7.27966,2.6342053649489507,0.0735123977065086,5.636076689165888e+42,1.8204546045004356e+42,7.702807989422002e+42,1.2150867471672826e+42
LoVoCCS-2,NUV,0.1571999937295913,,,13.4629,4.50335,2.4092826904552034,0.0745182084274956,,,2.3124341940081098e+42,7.735109469420722e+41
LoVoCCS-4A,NUV+FUV,0.0375999994575977,22.5301,4.67974,131.782,8.22826,4.392613530224448,0.055358774960041,3.1255571395113916e+42,6.492112670630418e+41,1.2146855085254692e+43,7.58430451987356e+41
LoVoCCS-4B,NUV+FUV,0.0375999994575977,9.15559,2.90031,24.2247,4.60764,1.2411457887792352,0.0561226904392242,1.3069115368573732e+42,4.140037506553711e+41,2.2975326694817907e+42,4.3700039336755786e+41
LoVoCCS-7,NUV+FUV,0.0386000014841556,15.6795,3.43358,73.8986,4.67601,3.412032450119596,0.0997923563798293,7.534599680564237e+42,1.6499665659741543e+42,2.359432822432976e+43,1.4929554107959852e+42
LoVoCCS-9,NUV+FUV,0.0196000002324581,4.27532,1.4506,92.174,8.1204,2.292867760005014,0.0603550789295929,7.102199418898037e+41,2.4097495572386377e+41,1.0173633845715359e+43,8.96282859382765e+41
LoVoCCS-11,NUV,0.064300000667572,,,32.4604,5.33293,0.5598995854716925,0.0548045731631044,,,2.929984849579517e+42,4.813681933638555e+41
LoVoCCS-13,NUV+FUV,0.0122999995946884,24.9898,6.30825,51.6128,7.81811,2.1660735765011436,0.075752395406823,6.687919614377362e+42,1.688251562933517e+42,9.177599819328166e+42,1.3901878007681761e+42
LoVoCCS-15,NUV+FUV,0.0296000000089406,85.9824,7.75326,95.6076,5.03949,1.4137817884417123,0.082089892062816,2.7269245464392375e+43,2.4589398538451455e+42,2.0146490660622652e+43,1.0619243472203179e+42
LoVoCCS-18,NUV,0.0167999994009733,,,13.5168,4.89208,3.509967880043102,0.0821731090545654,,,2.8543851115477304e+42,1.033075899362306e+42
