cluster_name,bands,E(B-V),FUV_flux,err_FUV_flux,NUV_flux,err_NUV_flux,arcsec_sep_from_bcg,z,FUV_lum,err_FUV_lum,NUV_lum,err_NUV_lum
LoVoCCS-21,NUV+FUV,0.0502000004053115,9.7338,4.31699,113.838,11.6693,2.090785708261236,0.046877,9.560945123141379e+41,4.2403279795301015e+41,7.429320539403476e+42,7.615644175974717e+41
LoVoCCS-21,NUV+FUV,0.0502000004053115,44.3002,8.67326,117.898,15.4451,2.633784786039442,0.046877,4.3513507689102685e+42,8.519238416521524e+41,7.69428515042948e+42,1.0079815058516545e+42
LoVoCCS-28,NUV,0.016499999910593,,,20.5523,4.92065,2.531457496980852,0.0767680257558822,,,3.758679177919739e+42,8.999063217659709e+41
LoVoCCS-29,NUV+FUV,0.0184000004082918,4.02246,1.86226,10.5657,2.42864,2.9223133081889237,0.108664,2.320254413309109e+42,1.0741976262608011e+42,4.049352470814141e+42,9.3078730086204e+41
LoVoCCS-39,NUV+FUV,0.0384000018239021,52.1773,6.75903,96.3911,5.72291,2.4110765965924403,0.1020804047584533,2.6319822484567604e+43,3.4094610063737865e+42,3.2305890939416915e+43,1.9180578530185715e+42
LoVoCCS-41A,NUV,0.0403999984264373,,,10.6713,3.37723,1.1280734184641437,0.087868221104145,,,2.5976400570288934e+42,8.220955206769268e+41
LoVoCCS-42,NUV+FUV,0.0307000000029802,9.91571,2.92059,26.0849,4.46407,1.905634840589658,0.0756891444735016,2.6490304408636824e+42,7.802499080027613e+41,4.630157250183799e+42,7.923873994467294e+41
LoVoCCS-48B,NUV,0.0703999996185302,,,21.5094,3.41053,1.36628328692709,0.0492411144077777,,,1.5544034542632443e+42,2.4646617817644487e+41
LoVoCCS-60A,NUV,0.1092000007629394,,,4.39778,1.81201,1.7682064084289235,,,,,
LoVoCCS-65,NUV+FUV,0.0581000000238418,14.3644,4.41706,51.5698,9.24921,2.2975633561063367,0.045761651809168,1.3423400013107669e+42,4.127702045466386e+41,3.201945396526578e+42,5.7427923670457496e+41
LoVoCCS-67,NUV+FUV,0.0142000000923872,37.1111,5.39637,94.651,6.75464,3.1167176977421636,0.049065,4.00653878721316e+42,5.825956577722967e+41,6.789443261102011e+42,4.8451939260198085e+41
LoVoCCS-74,NUV+FUV,0.0184000004082918,12.1621,3.28413,10.9436,2.27982,1.8924139287291335,0.1093124566366013,7.105720190911655e+42,1.918756534692092e+42,4.24818259289862e+42,8.850005152730483e+41
LoVoCCS-75,NUV+FUV,0.0340999998152256,24.4408,3.67961,51.0713,4.70361,0.8003015509676641,0.1109769440145167,1.4751453947949625e+43,2.2208600971087248e+42,2.0480462310517998e+43,1.886227829101189e+42
LoVoCCS-76,NUV+FUV,0.0286999996751546,9.95355,2.63925,14.5025,3.95065,1.799465442619899,0.088247,3.680149818022047e+42,9.758162070029978e+41,3.5626552873356706e+42,9.705088164738953e+41
LoVoCCS-80,NUV+FUV,0.0197000000625848,9.37782,3.88529,11.0659,3.85913,1.2502830082371728,0.083944728437169,3.1183302773293194e+42,1.2919439105468896e+42,2.444839719954701e+42,8.526151789252377e+41
LoVoCCS-89,NUV,0.0276999995112419,,,8.98672,2.19693,0.7464915812619268,0.108736,,,3.4491089557116876e+42,8.4318315671031e+41
LoVoCCS-90,NUV,0.0386000014841556,,,34.7414,7.64708,1.33383873514408,0.0809829384088516,,,7.113359857860679e+42,1.565752442384281e+42
LoVoCCS-98,NUV+FUV,0.0441999994218349,18.7534,4.27734,21.3891,3.95945,0.723297221104696,0.0776254534721374,5.284385241614306e+42,1.2052807687868087e+42,4.0045193577115e+42,7.412978653094705e+41
LoVoCCS-99,NUV,0.0844999998807907,,,44.2997,6.87135,4.051950224605847,0.054257,,,3.9159518153917146e+42,6.074053663273532e+41
LoVoCCS-119,NUV+FUV,0.0275999996811151,47.483,4.80945,77.2392,4.86149,0.8463308730029817,0.111015583981467,2.8680252732696546e+43,2.9049605438844936e+42,3.099745394129988e+43,1.9510017240091817e+42
LoVoCCS-122,NUV+FUV,0.0526000000536441,4.73977,1.97902,7.55994,2.12679,1.8898666274896372,0.1160451681166857,3.1497573719396063e+42,1.3151340327095874e+42,3.337963738101814e+42,9.390481800857623e+41
LoVoCCS-123,NUV+FUV,0.0819000005722045,17.5778,4.26787,98.7817,8.02512,0.9432663760363492,0.0573530981480493,2.6251355376573298e+42,6.3737994556210615e+41,9.801829434180018e+42,7.963100192528247e+41
LoVoCCS-134,NUV+FUV,0.0362999998033046,4.51275,1.77186,11.2663,2.89811,2.040800497392506,0.0756966666666666,1.2058559573998015e+42,4.734602928764972e+41,2.0002252363422435e+42,5.145320788276381e+41
LoVoCCS-134,NUV,0.0362999998033046,,,13.6626,2.80841,3.699425265104253,0.0756966666666666,,,2.4256656856332188e+42,4.986066903948874e+41
