cluster_name,Ftot,e_Ftot,Fpeak,e_Fpeak,arcsec_sep_from_bcg,z,VLASS_lum,err_VLASS_lum
LoVoCCS-1,51.678,0.6539999842643738,21.719,0.1720000058412552,5.191896256786718,0.0735123977065086,1.9988708438010996e+37,2.5296286628593108e+35
LoVoCCS-1,43.549,0.6949999928474426,19.674,0.1720000058412552,5.551222341607498,0.0735123977065086,1.6844465028966694e+37,2.688213983019323e+35
LoVoCCS-4A,16.356,0.2879999876022339,13.385,0.1400000005960464,0.82465153599173,0.055358774960041,3.493555968381325e+36,6.151528953176398e+34
LoVoCCS-4B,6.271,0.2599999904632568,6.162,0.1430000066757202,0.6530807585642519,0.0561226904392242,1.3782339265512164e+36,5.7142530339571565e+34
LoVoCCS-10,2.521,0.3499999940395355,1.9,0.1580000072717666,0.8582626178313516,0.0845614466780588,1.310867323098318e+36,1.8199268356645504e+35
LoVoCCS-12,2.671,0.2809999883174896,1.828,0.1230000033974647,1.3153563964093842,0.038482,2.6879009068075324e+35,2.8277803197734422e+34
LoVoCCS-15,807.081,2.9170000553131104,336.299,0.3630000054836273,1.850367901626036,0.082089892062816,3.941004777096629e+38,1.4243813387727005e+36
LoVoCCS-21,0.0,0.0,0.693,0.0,0.5759553226457245,0.046877,0.0,0.0
LoVoCCS-22,8.355,1.6959999799728394,1.114,0.2010000050067901,8.180022419158758,0.089803,4.9362610533958346e+36,1.0020225790185565e+36
LoVoCCS-30,158.23,1.8489999771118164,185.613,1.1740000247955322,2.158867314750478,0.0547979018821351,3.3088200333123854e+37,3.8665285760359735e+35
LoVoCCS-31,4.605,0.6179999709129333,1.649,0.1659999936819076,3.9716964727965554,0.083019,2.3028788917486375e+36,3.090508334672456e+35
LoVoCCS-39,255.905,3.0829999446868896,86.64,0.2080000042915344,7.849071845491316,0.1020804047584533,1.9874966490008378e+38,2.3944245164943874e+36
LoVoCCS-41C,4.31,0.6899999976158142,1.59,0.1889999955892563,2.0537259128066405,0.0865732654929161,2.3557435969518372e+36,3.771376047053915e+35
LoVoCCS-41C,2.579,0.5590000152587891,1.352,0.2029999941587448,7.19195162947551,0.0865732654929161,1.409620124486958e+36,3.0553612683106074e+35
LoVoCCS-46C,3.563,0.3459999859333038,2.679,0.164000004529953,0.9819682997377532,0.089399,2.0849856656584126e+36,2.0247123519195927e+35
LoVoCCS-48A,280.813,3.009999990463257,174.883,0.3650000095367431,1.128607924107743,0.04703,4.275549017993925e+37,4.582908377955046e+35
LoVoCCS-48A,0.0,0.0,2.921,0.0,4.086353984701923,0.04703,0.0,0.0
LoVoCCS-48A,0.0,0.0,2.087,0.0,5.976032866172024,0.04703,0.0,0.0
LoVoCCS-48A,1.983,0.628000020980835,1.983,0.3459999859333038,9.710832338863954,0.04703,3.0192383196938727e+35,9.561682945607125e+34
LoVoCCS-48B,23.884,0.3190000057220459,23.961,0.1790000051259994,1.2635715403014542,0.0492411144077777,3.999681107597785e+36,5.342062871420415e+34
LoVoCCS-49,131.262,0.515999972820282,104.124,0.1550000011920929,2.047577492626983,0.11985,1.4399736791604294e+38,5.660635822314936e+35
LoVoCCS-60A,2.986,0.4569999873638153,1.989,0.1979999989271164,1.765865190440132,,,
LoVoCCS-61,4.761,0.3470000028610229,3.453,0.1589999943971634,1.5238237924793376,0.1098772883415222,4.330499524347074e+36,3.1562347140056565e+35
LoVoCCS-61,6.772,0.5569999814033508,2.289,0.1410000026226043,3.0515025332985113,0.1098772883415222,6.159660319025076e+36,5.066347730578744e+35
LoVoCCS-66A,2.926,0.753000020980835,1.028,0.2000000029802322,1.2398388071119628,0.0920283049345016,1.8211719759179336e+36,4.686748243595053e+35
LoVoCCS-66B,32.005,1.3459999561309814,14.04,0.4280000030994415,1.155728581841753,0.095733,2.1668868752028267e+37,9.113043708682405e+35
LoVoCCS-67,105.756,1.8289999961853027,9.95,0.1509999930858612,1.7494051716716412,0.049065,1.757910742959166e+37,3.0402234787306798e+35
LoVoCCS-67,73.384,1.7660000324249268,8.702,0.163000002503395,4.940990880817003,0.049065,1.2198127951257183e+37,2.9355028831139744e+35
LoVoCCS-67,29.324,0.9480000138282776,6.946,0.163000002503395,6.419794816426223,0.049065,4.874330971910302e+36,1.5757965587145571e+35
LoVoCCS-75,1.251,0.2870000004768371,1.107,0.1500000059604644,1.0645962028074685,0.1109769440145167,1.1625268712675655e+36,2.6670280784022968e+35
LoVoCCS-90,8.159,0.3269999921321869,7.449,0.1780000030994415,0.9100394735844812,0.0809829384088516,3.871214580298534e+36,1.5515224136531776e+35
LoVoCCS-90,128.511,1.559000015258789,28.351,0.1739999949932098,8.704536330488017,0.0809829384088516,6.097483232366036e+37,7.397013837180367e+35
LoVoCCS-98,1.565,0.3650000095367431,1.196,0.1700000017881393,1.382157631458651,0.0776254534721374,6.789770199186726e+35,1.5835566693006062e+35
LoVoCCS-99,2.562,0.2060000002384185,3.712,0.1459999978542328,1.3158511658872634,0.054257,5.248056802401523e+35,4.219749034137189e+34
LoVoCCS-99,22.753,0.8209999799728394,6.07,0.1689999997615814,7.7841366366375775,0.054257,4.660774255466115e+36,1.6817543051006926e+35
LoVoCCS-119,1.684,0.4329999983310699,0.912,0.1620000004768371,2.8603577603257926,0.111015583981467,1.566077287101796e+36,4.026790158559407e+35
LoVoCCS-122,6.071,0.3650000095367431,4.238,0.1620000004768371,0.7569617783796383,0.1160451681166857,6.211640973838793e+36,3.734556110508951e+35
LoVoCCS-123,236.217,1.9110000133514404,35.214,0.1560000032186508,3.3715966834597797,0.0573530981480493,5.431560758156988e+37,4.394142962342745e+35
LoVoCCS-123,5.173,0.481000006198883,1.875,0.1560000032186508,6.171630390601026,0.0573530981480493,1.1894767862578094e+36,1.1060087793609776e+35
LoVoCCS-123,1.122,0.3339999914169311,0.859,0.1539999991655349,8.383831864364547,0.0573530981480493,2.579920653743016e+35,7.679977506297063e+34
LoVoCCS-123,2.182,0.4569999873638153,0.868,0.123999997973442,9.40525676735953,0.0573530981480493,5.01727884711877e+35,1.050823267522464e+35
LoVoCCS-123,6.229,0.5009999871253967,2.572,0.1469999998807907,9.55850835674886,0.0573530981480493,1.4322928477865637e+36,1.1519966259445598e+35
LoVoCCS-131,0.26,0.1099999994039535,1.134,0.0710000023245811,1.2273822379950858,0.0921,1.6209524308832115e+35,6.857875631961162e+34
LoVoCCS-131,23.15,0.7720000147819519,8.489,0.1930000036954879,8.734325732235448,0.0921,1.4432711067287054e+37,4.812981925394923e+35
LoVoCCS-131,47.23,1.496999979019165,8.942,0.19200000166893,9.08843707421841,0.0921,2.944522435023618e+37,9.332945211627814e+35
