name,em_line,notes
LoVoCCS-1,,
LoVoCCS-2,,
LoVoCCS-4A,,
LoVoCCS-4B,,
LoVoCCS-5,,
LoVoCCS-7,,
LoVoCCS-9,,
LoVoCCS-10,,
LoVoCCS-11,,
LoVoCCS-12,,
LoVoCCS-13,,
LoVoCCS-14,,
LoVoCCS-15,,
LoVoCCS-18,,
LoVoCCS-21,,
LoVoCCS-22,False,Something around 4300 angstroms but I don't think its real
LoVoCCS-24,,
LoVoCCS-26,,
LoVoCCS-27,,
LoVoCCS-28,False,
LoVoCCS-29,,
LoVoCCS-30,,
LoVoCCS-31,,
LoVoCCS-33,,
LoVoCCS-35,,
LoVoCCS-39,False,
LoVoCCS-41A,,
LoVoCCS-41B,,
LoVoCCS-41C,,
LoVoCCS-42,,
LoVoCCS-45,,
LoVoCCS-46A,,
LoVoCCS-46B,,
LoVoCCS-46C,,
LoVoCCS-48A,,
LoVoCCS-48B,,
LoVoCCS-49,,
LoVoCCS-51,,
LoVoCCS-55,,
LoVoCCS-58,,
LoVoCCS-60A,,
LoVoCCS-60B,,
LoVoCCS-61,,
LoVoCCS-63,,
LoVoCCS-65,,
LoVoCCS-66A,,
LoVoCCS-66B,,
LoVoCCS-67,,
LoVoCCS-74,,
LoVoCCS-75,,
LoVoCCS-76,,
LoVoCCS-80,,
LoVoCCS-85,,
LoVoCCS-89,,
LoVoCCS-90,,
LoVoCCS-93A,,
LoVoCCS-93B,,
LoVoCCS-94,,
LoVoCCS-98,,
LoVoCCS-99,,
LoVoCCS-108,,
LoVoCCS-119,,
LoVoCCS-121,,
LoVoCCS-122,,
LoVoCCS-123,,
LoVoCCS-131,,
LoVoCCS-134,,
